"","Country","BattleDeaths","InterpersonalInjuries","PolStability","Voice","GovEffect","RegQuality","RuleofLaw","Corruption","BirthRegistration","DTF2012rank","BLeducationyears","tenyearavg","SI.POV.GINI","Health.Care.Capabilities","Vulnerability"
"1","Afghanistan",7442,0.00900586756077117,-2.39,-1.41,-1.72,-1.4,-1.21,-1.32,37,181,3.85,9.2979,27.82,2,73.73
"2","Aland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Albania",NA,0.00417457305502846,-0.16,-0.72,-0.57,-0.28,0.17,0,99,109,9.93,4.60818181818182,28.96,2,47.87
"4","Algeria",256,0.00229717790135648,-1.32,-0.49,-0.77,-0.55,-1.29,-0.9,99,136,6.68,3.79954545454545,35.33,2,48.24
"5","American Samoa",NA,NA,0.99,0.35,1.14,0.48,0.36,1.06,NA,NA,NA,NA,NA,3,NA
"6","Andorra",NA,NA,1.32,1.29,1.43,1.52,1.55,1.43,100,NA,NA,NA,NA,5,NA
"7","Angola",NA,0.00693530570097498,-0.38,-1.3,-1.28,-1.02,-0.98,-1.07,36,176,NA,10.9964545454545,42.66,2,65.51
"8","Anguilla",NA,NA,1.53,1.29,1.4,1.52,1.31,1.06,NA,NA,NA,NA,NA,NA,NA
"9","Antigua and Barbuda",NA,NA,0.99,1.29,0.97,0.48,0.59,0.66,NA,72,NA,2.05136363636364,NA,3,NA
"10","Argentina",NA,0.00427872563097817,0.08,-0.49,-0.71,-0.25,-0.96,0.26,100,128,9.51,4.93881818181818,43.57,3,38.55
"11","Armenia",NA,0.00181879420680364,0.11,-0.53,-0.4,-0.04,0.33,-0.58,100,52,10.73,7.92945454545455,30.3,2,42.78
"12","Aruba",NA,NA,1.3,1.11,1.32,1.23,1.42,1.26,NA,NA,NA,NA,NA,NA,NA
"13","Australia",NA,0.000841648590021692,1,2,1.75,1.61,1.77,1.5,100,13,11.54,3.10054545454545,34.01,5,26.1
"14","Austria",NA,0.000484404536862004,1.32,1.35,1.84,1.56,1.51,1.46,100,19,9.6,1.63772727272727,30.04,5,26.31
"15","Azerbaijan",25,0.00331936835320657,-0.69,-1.07,-0.81,-0.78,-0.47,-1.25,94,74,NA,12.9119090909091,33.03,2,45.9
"16","Bahamas",NA,0.00779569892473118,1.17,1.34,0.59,0.97,0.36,0.92,NA,66,NA,0.619818181818182,NA,2,39.09
"17","Bahrain",NA,0.00159332321699545,-1.14,0.39,0.28,0.54,0.69,-1.32,NA,53,7.06,5.158,NA,4,41.56
"18","Bangladesh",NA,0.00169624099033582,-1.35,-0.87,-0.91,-0.83,-0.96,-0.41,31,161,5.91,6.02327272727273,32.12,2,61.1
"19","Barbados",NA,0.0049469964664311,1.22,1.66,0.99,1.45,0.42,1.18,NA,86,9.45,1.15290909090909,NA,3,34.95
"20","Belarus",NA,0.00217969165337586,0.02,-0.52,-0.92,-0.94,-1.1,-1.55,100,69,NA,6.99872727272727,26.46,2,36.89
"21","Belgium",NA,0.000985533453887884,0.9,1.55,1.4,1.59,1.22,1.35,100,29,10.69,1.35218181818182,33.14,5,29.23
"22","Belize",NA,0.0175925925925926,0.18,0.01,-0.44,-0.18,-0.48,0.7,95,93,11.29,3.75563636363636,53.13,2,49.52
"23","Benin",NA,0.00552183862302259,0.32,-0.93,-0.64,-0.54,-0.39,0.09,80,169,4.43,3.86063636363636,43.53,1,66.89
"24","Bermuda",NA,NA,1,1.29,1.14,1,1.31,1.06,NA,NA,NA,NA,NA,NA,NA
"25","Bhutan",NA,0.00215633423180593,0.81,0.82,0.19,0.48,-1.12,-0.31,100,120,NA,8.53072727272727,38.73,2,52.86
"26","Bolivia, Plurinational State of",NA,0.00870807926829268,-0.5,-0.7,-1.04,-0.37,-0.83,-0.12,76,146,8.25,4.28490909090909,46.64,2,56.14
"27","Bonaire, Sint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Bosnia and Herzegovina",NA,0.00099113197704747,-0.54,-0.3,-0.23,-0.47,-0.06,-0.14,100,129,NA,3.10654545454545,33.04,3,44.26
"29","Botswana",NA,0.011626746506986,1.08,0.93,0.66,0.43,0.69,0.5,72,62,9.55,4.51754545454545,60.46,3,51.62
"30","Brazil",NA,0.0193736912048969,0.05,-0.07,-0.11,-0.12,0.09,0.43,93,135,7.89,3.53318181818182,52.67,2,45.09
"31","Brunei Darussalam",NA,0.00121359223300971,0.92,0.64,0.81,0.83,1.16,-0.5,NA,97,8.74,1.40827272727273,NA,4,39.48
"32","Bulgaria",NA,0.00153888430887606,0.35,-0.24,-0.12,0.14,0.54,0.38,100,50,11.24,3.61409090909091,34.28,3,36.08
"33","Burkina Faso",NA,0.00536452004860267,-0.59,-0.52,-0.43,-0.63,-0.12,-0.34,77,163,NA,5.85963636363636,39.78,1,67.17
"34","Burundi",NA,0.00551269035532995,-1.69,-1.46,-1.09,-1.34,-0.96,-0.91,75,162,3.35,3.30790909090909,33.27,2,70
"35","Cabo Verde",NA,0.00161943319838057,0.81,0.79,0.48,0.1,0.04,0.94,91,113,NA,4.89745454545455,43.82,NA,50.95
"36","Cambodia",NA,0.00425159771274807,-0.14,-1.04,-0.97,-0.83,-0.35,-0.96,62,145,4.72,7.90281818181818,31.82,2,61.9
"37","Cameroon",NA,0.00515668202764977,-0.58,-1.27,-1.03,-0.9,-0.93,-1.03,61,152,6.15,3.39472727272727,40.72,2,61.59
"38","Canada",NA,0.00117400539640622,1.09,1.92,1.75,1.75,1.69,1.44,100,15,12.32,1.97581818181818,33.68,5,30.61
"39","Cayman Islands",NA,NA,1,1.35,0.89,1.23,1.1,0.54,NA,NA,NA,NA,NA,NA,NA
"40","Central African Republic",45,0.00773480662983425,-1.87,-0.89,-1.45,-1.46,-1.09,-1.26,61,188,3.76,2.01245454545455,56.3,1,72.22
"41","Chad",NA,0.00504498714652956,-1.06,-1.25,-1.45,-1.49,-1.08,-1.35,16,189,NA,8.95290909090909,43.3,1,75.72
"42","Chile",NA,0.00248496993987976,0.34,1.56,1.37,1.25,1.54,1.06,99,37,9.78,4.44036363636364,50.84,4,36.53
"43","China",NA,0.000736078915632199,-0.55,-0.48,-0.49,0.01,-0.26,-1.59,NA,106,7.51,10.3270909090909,37.0120751713004,2,47.79
"44","Colombia",211,0.0224823914137179,-1.4,-0.43,-0.39,0.01,0.39,-0.1,97,45,8.95,4.53372727272727,53.53,2,49.34
"45","Comoros",NA,0.00626740947075209,-0.38,-0.73,-1.03,-1.55,-1.42,-0.52,87,154,NA,2.05963636363636,64.3,2,67.82
"46","Congo",NA,0.00816232418722619,-0.49,-1.19,-1.12,-1.2,-1.38,-1.15,91,183,5.94,4.57172727272727,40.17,1,64.66
"47","Congo, the Democratic Republic of the",660,0.0188220074575755,-2.14,-1.3,-1.65,-1.66,-1.51,-1.51,28,185,3.66,0.471818181818182,44.43,1,NA
"48","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Costa Rica",NA,0.00678459937565036,0.63,0.58,0.47,0.49,0.57,1.06,100,105,7.97,4.771,48.61,NA,40.68
"50","Cote d'Ivoire",NA,0.00902721774193548,-1.26,-0.87,-1.12,-1.11,-0.77,-0.81,65,167,4.65,0.613818181818182,43.19,1,67.95
"51","Croatia",NA,0.000859066635709311,0.58,-0.04,0.21,0.7,0.44,0.5,NA,88,11.3,1.73554545454545,33.61,4,37.13
"52","Cuba",NA,0.00289237867092538,0.32,0.3,-0.64,-0.42,-1.6,-1.43,100,NA,10.16,NA,NA,2,36.79
"53","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Cyprus",NA,0.000797165633303809,0.62,1.24,1.07,1.38,1.12,1,100,46,11.07,2.03454545454545,NA,4,37.13
"55","Czech Republic",NA,0.00075984990619137,1.04,0.23,1.01,0.92,1.06,0.94,100,49,12.8,2.91127272727273,26.39,4,32.02
